Source_Name,Frac_Variability,Unc_Frac_Variability
J0420.3-3745,0.4653642,0.120762795
J0421.0-0752,0.0,10.0
J0422.1-0644,0.8453981,0.2029193
J0422.3+1951,0.4254248,0.19213422
J0422.8+0225,0.45393395,0.204488
J0423.1+2106,0.0,10.0
J0423.3-0120,0.8453731,0.2006097
J0423.9+4150,0.030093005,0.10429174
J0424.7+0036,0.2932781,0.082976796
J0424.9-5331,0.49129513,0.12852603
J0425.3+6319,0.0,10.0
J0426.7+6826,0.29007134,0.12780528
J0427.3-3900,0.25438273,0.07559187
J0428.6-3756,0.44459352,0.10509496
J0428.7-5003,0.0,10.0
