Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J2127.6-5959,PowerLaw         ,4028.4126,7.449253e-15,1.902034,9.580879e-15,1.7785653,0.15441829,
J2127.7+3612,LogParabola      ,1863.2344,3.2935848e-13,1.9906721,3.7810643e-13,1.812103,0.12740122,HSP
J2130.2-7320,PowerLaw         ,2201.2087,2.6401765e-14,2.1528776,3.521281e-14,1.827418,0.32094494,HSP
J2130.4-4241,PowerLaw         ,915.5656,3.6966656e-13,2.4378984,4.3599022e-13,2.351631,0.14535592,
J2130.8-6623,LogParabola      ,1150.7341,5.532167e-13,2.2493837,8.331357e-13,1.8029065,0.63773805,
J2131.0-2746,LogParabola      ,2442.4612,1.2299897e-13,1.7927285,1.4577051e-13,1.6220651,0.12123543,HSP
J2131.5-0916,PowerLaw         ,2342.9158,1.1957334e-13,1.9888407,1.2014355e-13,1.9852124,0.0027603202,HSP
J2131.7-2515,PowerLaw         ,3697.9316,2.319936e-14,1.8430922,2.8369803e-14,1.7363955,0.12438517,
J2132.0-5418,PowerLaw         ,921.5583,6.328089e-13,2.4158797,6.91609e-13,2.3853898,0.07622263,LSP
J2133.0+2610,LogParabola      ,1399.4133,1.4441584e-13,2.4298055,2.1153875e-13,2.4607139,0.3507167,LSP
J2133.1+2529,PowerLaw         ,4176.8193,1.36195165e-14,1.9646828,1.4440167e-14,1.9240078,0.039676074,
J2133.6+1439,PowerLaw         ,551.8329,1.0107648e-12,2.8268647,9.257612e-13,2.8552747,-0.058868624,
J2133.9+6646,PowerLaw         ,2905.5613,1.0456924e-13,2.0892446,1.163653e-13,2.0102098,0.08301369,HSP
J2134.2-0154,PowerLaw         ,1049.1182,1.2600635e-12,2.2952821,1.3456799e-12,2.2584307,0.054509122,LSP
J2134.3-6511,PowerLaw         ,1974.3517,5.2336404e-14,2.3106277,5.3640933e-14,2.2831442,0.021483023,LSP
J2134.5-2130,PowerLaw         ,2061.3474,1.8447941e-13,1.9962465,2.053693e-13,1.9281484,0.07140508,ISP
J2135.3-5006,PowerLaw         ,728.4928,2.6390559e-12,2.430213,2.8807193e-12,2.3942316,0.073419295,LSP
J2136.2+0032,PowerLaw         ,330.17276,8.984416e-12,2.8774724,1.1029833e-11,2.7511673,0.22343414,
J2136.2-0642,PowerLaw         ,940.645,2.431059e-13,2.5245962,2.4056977e-13,2.5263762,-0.004013938,LSP
J2136.5+4259,PowerLaw         ,721.139,1.3473828e-12,2.689461,1.3928968e-12,2.6692348,0.02602712,LSP
J2137.4-3209,PowerLaw         ,3590.8662,1.0849823e-14,1.9099249,1.4452408e-14,1.6993451,0.22582072,
J2138.3+3556,PowerLaw         ,4614.3193,7.888986e-15,1.9131839,9.410999e-15,1.793253,0.13473111,ISP
J2138.8-2055,PowerLaw         ,5730.803,4.9909146e-15,1.7632864,6.576347e-15,1.5582322,0.20957156,
J2139.2-2214,PowerLaw         ,813.4126,4.0766023e-13,2.5581334,3.622455e-13,2.6033218,-0.07278513,ISP
J2139.4-4235,LogParabola      ,854.7093,7.488533e-12,2.0122356,7.892097e-12,1.9292228,0.049140666,ISP
